Date,Close
1/2/2015 16:00:00,41.19
1/5/2015 16:00:00,40.23
1/6/2015 16:00:00,39.69
1/7/2015 16:00:00,39.7
1/8/2015 16:00:00,39.96
1/9/2015 16:00:00,39.89
1/12/2015 16:00:00,39.05
1/13/2015 16:00:00,39.05
1/15/2015 16:00:00,38.98
1/16/2015 16:00:00,39.76
1/20/2015 16:00:00,39.02
1/21/2015 16:00:00,39.47
1/22/2015 16:00:00,39.12
1/26/2015 16:00:00,39
1/27/2015 16:00:00,39.25
1/28/2015 16:00:00,38.35
1/29/2015 16:00:00,38.24
1/30/2015 16:00:00,38.42
2/2/2015 16:00:00,39.99
2/3/2015 16:00:00,41.3
2/4/2015 16:00:00,40.45
2/5/2015 16:00:00,40.73
2/6/2015 16:00:00,40.74
2/9/2015 16:00:00,41.37
2/10/2015 16:00:00,40.74
2/11/2015 16:00:00,40.29
2/12/2015 16:00:00,41.18
2/13/2015 16:00:00,41.61
2/17/2015 16:00:00,41.67
2/18/2015 16:00:00,41.17
2/19/2015 16:00:00,40.92
2/20/2015 16:00:00,40.93
2/23/2015 16:00:00,40.61
2/24/2015 16:00:00,40.61
2/25/2015 16:00:00,41.18
2/26/2015 16:00:00,40.71
2/27/2015 16:00:00,41.14
3/2/2015 16:00:00,40.7
3/3/2015 16:00:00,40.85
3/4/2015 16:00:00,40.53
3/5/2015 16:00:00,40.43
3/6/2015 16:00:00,39.82
3/9/2015 16:00:00,39.45
3/10/2015 16:00:00,38.78
3/11/2015 16:00:00,38.96
3/12/2015 16:00:00,38.77
3/13/2015 16:00:00,37.99
3/16/2015 16:00:00,37.97
3/17/2015 16:00:00,37.72
3/18/2015 16:00:00,38.78
3/19/2015 16:00:00,38.17
3/20/2015 16:00:00,38.8
3/23/2015 16:00:00,38.9
3/24/2015 16:00:00,38.7
3/25/2015 16:00:00,38.77
3/26/2015 16:00:00,39.18
3/27/2015 16:00:00,38.39
3/30/2015 16:00:00,38.78
3/31/2015 16:00:00,38.26
4/1/2015 16:00:00,39.01
