Date,Close
1/2/2015 16:00:00,11.5
1/5/2015 16:00:00,11.68
1/6/2015 16:00:00,11.79
1/7/2015 16:00:00,11.73
1/8/2015 16:00:00,11.69
1/9/2015 16:00:00,11.82
1/12/2015 16:00:00,11.94
1/13/2015 16:00:00,11.91
1/14/2015 16:00:00,11.88
1/15/2015 16:00:00,12.18
1/16/2015 16:00:00,12.35
1/20/2015 16:00:00,12.52
1/21/2015 16:00:00,12.52
1/22/2015 16:00:00,12.62
1/23/2015 16:00:00,12.52
1/26/2015 16:00:00,12.39
1/27/2015 16:00:00,12.53
1/28/2015 16:00:00,12.44
1/29/2015 16:00:00,12.16
1/30/2015 16:00:00,12.43
2/2/2015 16:00:00,12.34
2/3/2015 16:00:00,12.2
2/4/2015 16:00:00,12.25
2/5/2015 16:00:00,12.28
2/6/2015 16:00:00,11.96
2/9/2015 16:00:00,12
2/10/2015 16:00:00,11.94
2/11/2015 16:00:00,11.8
2/12/2015 16:00:00,11.83
2/13/2015 16:00:00,11.89
2/17/2015 16:00:00,11.7
2/18/2015 16:00:00,11.73
2/19/2015 16:00:00,11.69
2/20/2015 16:00:00,11.61
2/23/2015 16:00:00,11.63
2/24/2015 16:00:00,11.62
2/25/2015 16:00:00,11.66
2/26/2015 16:00:00,11.69
2/27/2015 16:00:00,11.71
3/2/2015 16:00:00,11.65
3/3/2015 16:00:00,11.64
3/4/2015 16:00:00,11.6
3/5/2015 16:00:00,11.6
3/6/2015 16:00:00,11.28
3/9/2015 16:00:00,11.28
3/10/2015 16:00:00,11.22
3/11/2015 16:00:00,11.16
3/12/2015 16:00:00,11.15
3/13/2015 16:00:00,11.17
3/16/2015 16:00:00,11.17
3/17/2015 16:00:00,11.1
3/18/2015 16:00:00,11.32
3/19/2015 16:00:00,11.31
3/20/2015 16:00:00,11.44
3/23/2015 16:00:00,11.51
3/24/2015 16:00:00,11.55
3/25/2015 16:00:00,11.56
3/26/2015 16:00:00,11.65
3/27/2015 16:00:00,11.6
3/30/2015 16:00:00,11.46
3/31/2015 16:00:00,11.45
4/1/2015 16:00:00,11.65
4/2/2015 16:00:00,11.62
4/6/2015 16:00:00,11.76
4/7/2015 16:00:00,11.7
4/8/2015 16:00:00,11.64
4/9/2015 16:00:00,11.56
4/10/2015 16:00:00,11.68
4/13/2015 16:00:00,11.61
4/14/2015 16:00:00,11.53
4/15/2015 16:00:00,11.63
4/16/2015 16:00:00,11.6
4/17/2015 16:00:00,11.64
4/20/2015 16:00:00,11.56
4/21/2015 16:00:00,11.63
4/22/2015 16:00:00,11.48
4/23/2015 16:00:00,11.56
4/24/2015 16:00:00,11.4
4/27/2015 16:00:00,11.63
4/28/2015 16:00:00,11.73
4/29/2015 16:00:00,11.64
4/30/2015 16:00:00,11.44
5/1/2015 16:00:00,11.39
5/4/2015 16:00:00,11.49
5/5/2015 16:00:00,11.53
5/6/2015 16:00:00,11.53
5/7/2015 16:00:00,11.44
5/8/2015 16:00:00,11.5
5/11/2015 16:00:00,11.44
5/12/2015 16:00:00,11.54
5/13/2015 16:00:00,11.74
5/14/2015 16:00:00,11.81
5/15/2015 16:00:00,11.84
5/18/2015 16:00:00,11.84
5/19/2015 16:00:00,11.68
5/20/2015 16:00:00,11.7
5/21/2015 16:00:00,11.66
5/22/2015 16:00:00,11.65
5/26/2015 16:00:00,11.48
5/27/2015 16:00:00,11.48
5/28/2015 16:00:00,11.49
5/29/2015 16:00:00,11.51
6/1/2015 16:00:00,11.5
6/2/2015 16:00:00,11.54
6/3/2015 16:00:00,11.46
6/4/2015 16:00:00,11.38
6/5/2015 16:00:00,11.32
6/8/2015 16:00:00,11.35
6/9/2015 16:00:00,11.37
6/10/2015 16:00:00,11.47
6/11/2015 16:00:00,11.43
6/12/2015 16:00:00,11.41
6/15/2015 16:00:00,11.46
6/16/2015 16:00:00,11.42
6/17/2015 16:00:00,11.47
6/18/2015 16:00:00,11.62
6/19/2015 16:00:00,11.6
6/22/2015 16:00:00,11.45
6/23/2015 16:00:00,11.39
6/24/2015 16:00:00,11.35
6/25/2015 16:00:00,11.33
6/26/2015 16:00:00,11.35
6/29/2015 16:00:00,11.39
6/30/2015 16:00:00,11.34
7/1/2015 16:00:00,11.3
7/2/2015 16:00:00,11.27
7/6/2015 16:00:00,11.3
7/7/2015 16:00:00,11.18
7/8/2015 16:00:00,11.21
7/9/2015 16:00:00,11.23
7/10/2015 16:00:00,11.24
7/13/2015 16:00:00,11.2
7/14/2015 16:00:00,11.17
7/15/2015 16:00:00,11.1
7/16/2015 16:00:00,11.06
7/17/2015 16:00:00,10.95
7/20/2015 16:00:00,10.65
7/21/2015 16:00:00,10.62
7/22/2015 16:00:00,10.56
7/23/2015 16:00:00,10.52
7/24/2015 16:00:00,10.62
7/27/2015 16:00:00,10.58
7/28/2015 16:00:00,10.58
7/29/2015 16:00:00,10.6
7/30/2015 16:00:00,10.51
7/31/2015 16:00:00,10.58
8/3/2015 16:00:00,10.49
8/4/2015 16:00:00,10.52
8/5/2015 16:00:00,10.48
8/6/2015 16:00:00,10.52
8/7/2015 16:00:00,10.56
8/10/2015 16:00:00,10.66
8/11/2015 16:00:00,10.72
8/12/2015 16:00:00,10.86
8/13/2015 16:00:00,10.77
8/14/2015 16:00:00,10.78
8/17/2015 16:00:00,10.79
8/18/2015 16:00:00,10.8
8/19/2015 16:00:00,10.94
8/20/2015 16:00:00,11.14
8/21/2015 16:00:00,11.2
8/24/2015 16:00:00,11.14
8/25/2015 16:00:00,11.02
8/26/2015 16:00:00,10.87
8/27/2015 16:00:00,10.85
8/28/2015 16:00:00,10.95
8/31/2015 16:00:00,10.98
9/1/2015 16:00:00,11.02
9/2/2015 16:00:00,10.95
9/3/2015 16:00:00,10.88
9/4/2015 16:00:00,10.83
9/8/2015 16:00:00,10.84
9/9/2015 16:00:00,10.7
9/10/2015 16:00:00,10.72
9/11/2015 16:00:00,10.71
9/14/2015 16:00:00,10.72
9/15/2015 16:00:00,10.67
9/16/2015 16:00:00,10.81
9/17/2015 16:00:00,10.94
9/18/2015 16:00:00,11.01
9/21/2015 16:00:00,10.94
9/22/2015 16:00:00,10.88
9/23/2015 16:00:00,10.91
9/24/2015 16:00:00,11.13
9/25/2015 16:00:00,11.08
9/28/2015 16:00:00,10.94
9/29/2015 16:00:00,10.9
9/30/2015 16:00:00,10.78
10/1/2015 16:00:00,10.76
10/2/2015 16:00:00,11
10/5/2015 16:00:00,10.96
10/6/2015 16:00:00,11.08
10/7/2015 16:00:00,11.06
10/8/2015 16:00:00,11.01
10/9/2015 16:00:00,11.18
10/12/2015 16:00:00,11.23
10/13/2015 16:00:00,11.28
10/14/2015 16:00:00,11.48
10/15/2015 16:00:00,11.43
10/16/2015 16:00:00,11.35
10/19/2015 16:00:00,11.29
10/20/2015 16:00:00,11.38
10/21/2015 16:00:00,11.27
10/22/2015 16:00:00,11.27
10/23/2015 16:00:00,11.25
10/26/2015 16:00:00,11.24
10/27/2015 16:00:00,11.27
10/28/2015 16:00:00,11.18
10/29/2015 16:00:00,11.06
10/30/2015 16:00:00,11.02
11/2/2015 16:00:00,10.95
11/3/2015 16:00:00,10.78
11/4/2015 16:00:00,10.68
11/5/2015 16:00:00,10.65
11/6/2015 16:00:00,10.5
11/9/2015 16:00:00,10.53
11/10/2015 16:00:00,10.5
11/11/2015 16:00:00,10.48
11/12/2015 16:00:00,10.47
11/13/2015 16:00:00,10.45
11/16/2015 16:00:00,10.46
11/17/2015 16:00:00,10.33
11/18/2015 16:00:00,10.32
11/19/2015 16:00:00,10.45
11/20/2015 16:00:00,10.4
11/23/2015 16:00:00,10.31
